time,HR,RR,SpO2,Temp,SBP,DBP,MAP
2026-03-15 09:00:00,88,18,97,37.1,120,80,93
2026-03-15 09:10:00,90,19,97,37.2,118,78,91
2026-03-15 09:20:00,91,20,96,37.2,117,77,90
2026-03-15 09:30:00,92,20,96,37.3,115,76,89
2026-03-15 09:40:00,93,21,96,37.3,114,75,88
2026-03-15 09:50:00,95,21,95,37.4,112,74,87
2026-03-15 10:00:00,96,22,95,37.4,110,73,86
2026-03-15 10:10:00,97,22,94,37.5,108,72,84
2026-03-15 10:20:00,98,23,94,37.5,106,70,82
2026-03-15 10:30:00,99,23,93,37.6,105,69,81
2026-03-15 10:40:00,100,24,93,37.6,104,68,80
2026-03-15 10:50:00,101,24,92,37.7,102,67,79
2026-03-15 11:00:00,102,25,92,37.7,100,66,77
2026-03-15 11:10:00,103,25,91,37.8,99,65,76
2026-03-15 11:20:00,104,26,91,37.8,98,64,75
2026-03-15 11:30:00,105,26,90,37.9,96,63,74
2026-03-15 11:40:00,106,27,90,37.9,95,62,73
2026-03-15 11:50:00,107,27,89,38.0,94,61,72
2026-03-15 12:00:00,108,28,89,38.0,92,60,71
2026-03-15 12:10:00,109,28,88,38.1,90,59,69
